sample_name	SAMN
Andersen-AB1	SAMN04902427
Andersen-AB4	SAMN04902428
Andersen-BRC20067	SAMN04902391
Andersen-CB4852	SAMN04902415
Andersen-CB4854	SAMN04902526
Andersen-CB4856	SAMN04902368
Andersen-CB4932	SAMN04902527
Andersen-CX11254	SAMN04902445
Andersen-CX11262	SAMN04902550
Andersen-CX11264	SAMN04902489
Andersen-CX11271	SAMN04902528
Andersen-CX11276	SAMN04902429
Andersen-CX11285	SAMN04902430
Andersen-CX11292	SAMN04902468
Andersen-CX11307	SAMN04902490
Andersen-CX11314	SAMN04902446
Andersen-CX11315	SAMN04902416
Andersen-DL200	SAMN04902469
Andersen-DL226	SAMN04902431
Andersen-DL238	SAMN04902417
Andersen-ECA243	SAMN04902447
Andersen-ECA245	SAMN04902551
Andersen-ECA246	SAMN04902448
Andersen-ECA248	SAMN04902470
Andersen-ECA249	SAMN04902369
Andersen-ECA250	SAMN04902510
Andersen-ECA251	SAMN04902471
Andersen-ECA252	SAMN04902449
Andersen-ECA253	SAMN04902418
Andersen-ECA254	SAMN04902378
Andersen-ECA259	SAMN04902440
Andersen-ECA36	SAMN04902370
Andersen-ED3005	SAMN04902491
Andersen-ED3011	SAMN04902450
Andersen-ED3012	SAMN04902511
Andersen-ED3017	SAMN04902371
Andersen-ED3040	SAMN04902529
Andersen-ED3046	SAMN04902432
Andersen-ED3048	SAMN04902472
Andersen-ED3049	SAMN04902419
Andersen-ED3052	SAMN04902492
Andersen-ED3073	SAMN04902473
Andersen-ED3077	SAMN04902530
Andersen-EG4347	SAMN04902451
Andersen-EG4349	SAMN04902552
Andersen-EG4724	SAMN04902493
Andersen-EG4725	SAMN04902372
Andersen-EG4946	SAMN04902531
Andersen-GXW1	SAMN04902512
Andersen-JT11398	SAMN04902392
Andersen-JU1088	SAMN04902452
Andersen-JU1172	SAMN04902474
Andersen-JU1200	SAMN04902433
Andersen-JU1212	SAMN04902513
Andersen-JU1213	SAMN04902494
Andersen-JU1242	SAMN04902475
Andersen-JU1246	SAMN04902453
Andersen-JU1395	SAMN04902553
Andersen-JU1400	SAMN04902476
Andersen-JU1409	SAMN04902495
Andersen-JU1440	SAMN04902373
Andersen-JU1491	SAMN04902454
Andersen-JU1516	SAMN04902477
Andersen-JU1530	SAMN04902532
Andersen-JU1568	SAMN04902496
Andersen-JU1580	SAMN04902420
Andersen-JU1581	SAMN04902514
Andersen-JU1586	SAMN04902455
Andersen-JU1652	SAMN04902533
Andersen-JU1896	SAMN04902478
Andersen-JU2001	SAMN04902554
Andersen-JU2007	SAMN04902456
Andersen-JU2316	SAMN04902374
Andersen-JU2464	SAMN04902375
Andersen-JU2466	SAMN04902376
Andersen-JU2467	SAMN04902393
Andersen-JU2468	SAMN04902394
Andersen-JU2513	SAMN04902395
Andersen-JU2519	SAMN04902396
Andersen-JU2522	SAMN04902397
Andersen-JU2526	SAMN04902398
Andersen-JU258	SAMN04902421
Andersen-JU310	SAMN04902479
Andersen-JU311	SAMN04902497
Andersen-JU315	SAMN04902457
Andersen-JU323	SAMN04902534
Andersen-JU346	SAMN04902434
Andersen-JU360	SAMN04902422
Andersen-JU363	SAMN04902399
Andersen-JU367	SAMN04902535
Andersen-JU393	SAMN04902515
Andersen-JU394	SAMN04902480
Andersen-JU397	SAMN04902498
Andersen-JU406	SAMN04902516
Andersen-JU440	SAMN04902458
Andersen-JU561	SAMN04902536
Andersen-JU642	SAMN04902481
Andersen-JU751	SAMN04902499
Andersen-JU774	SAMN04902537
Andersen-JU775	SAMN04902435
Andersen-JU778	SAMN04902423
Andersen-JU782	SAMN04902377
Andersen-JU792	SAMN04902555
Andersen-JU830	SAMN04902459
Andersen-JU847	SAMN04902538
Andersen-KR314	SAMN04902500
Andersen-LKC34	SAMN04902460
Andersen-LSJ1	SAMN04902482
Andersen-MY1	SAMN04902436
Andersen-MY10	SAMN04902461
Andersen-MY16	SAMN04902437
Andersen-MY18	SAMN04902539
Andersen-MY23	SAMN04902424
Andersen-N2	SAMN04902517
Andersen-NIC1	SAMN04902462
Andersen-NIC166	SAMN04902501
Andersen-NIC195	SAMN04902502
Andersen-NIC196	SAMN04902438
Andersen-NIC197	SAMN04902463
Andersen-NIC198	SAMN04902483
Andersen-NIC199	SAMN04902518
Andersen-NIC2	SAMN04902439
Andersen-NIC200	SAMN04902540
Andersen-NIC207	SAMN04902464
Andersen-NIC231	SAMN04902484
Andersen-NIC232	SAMN04902425
Andersen-NIC236	SAMN04902519
Andersen-NIC237	SAMN04902503
Andersen-NIC242	SAMN04902379
Andersen-NIC251	SAMN04902380
Andersen-NIC252	SAMN04902400
Andersen-NIC255	SAMN04902401
Andersen-NIC256	SAMN04902402
Andersen-NIC258	SAMN04902381
Andersen-NIC259	SAMN04902382
Andersen-NIC260	SAMN04902403
Andersen-NIC261	SAMN04902383
Andersen-NIC262	SAMN04902384
Andersen-NIC263	SAMN04902404
Andersen-NIC265	SAMN04902405
Andersen-NIC266	SAMN04902406
Andersen-NIC267	SAMN04902407
Andersen-NIC268	SAMN04902408
Andersen-NIC269	SAMN04902385
Andersen-NIC270	SAMN04902409
Andersen-NIC271	SAMN04902410
Andersen-NIC272	SAMN04902411
Andersen-NIC273	SAMN04902386
Andersen-NIC274	SAMN04902387
Andersen-NIC275	SAMN04902388
Andersen-NIC276	SAMN04902412
Andersen-NIC277	SAMN04902413
Andersen-NIC3	SAMN04902465
Andersen-NIC4	SAMN04902485
Andersen-PB303	SAMN04902520
Andersen-PS2025	SAMN04902541
Andersen-PX179	SAMN04902521
Andersen-QG2075	SAMN04902389
Andersen-QG536	SAMN04902504
Andersen-QG537	SAMN04902542
Andersen-QG538	SAMN04902522
Andersen-QG556	SAMN04902441
Andersen-QG557	SAMN04902426
Andersen-QG558	SAMN04902543
Andersen-QW947	SAMN04902414
Andersen-QX1211	SAMN04902466
Andersen-QX1212	SAMN04902486
Andersen-QX1213	SAMN04902505
Andersen-QX1214	SAMN04902523
Andersen-QX1215	SAMN04902467
Andersen-QX1216	SAMN04902544
Andersen-QX1233	SAMN04902487
Andersen-QX1791	SAMN04902442
Andersen-QX1792	SAMN04902390
Andersen-QX1793	SAMN04902443
Andersen-QX1794	SAMN04902444
Andersen-RC301	SAMN04902506
Andersen-WN2001	SAMN04902524
Andersen-WN2002	SAMN04902507
Andersen-WN2010	SAMN04902545
Andersen-WN2011	SAMN04902508
Andersen-WN2013	SAMN04902546
Andersen-WN2014	SAMN04902488
Andersen-WN2016	SAMN04902547
Andersen-WN2017	SAMN04902525
Andersen-WN2018	SAMN04902509
Andersen-WN2019	SAMN04902548
Andersen-WN2020	SAMN04902549
Andersen-WN2021	SAMN04902556