strain	isotype	longitude	latitude	isolation	location	prev_names	warning_msg	sequenced
ECA192	NA	155.221944	19.424444	garden trash pile by road	Near Volcano National Park	NA	NA	FALSE
ECA193	NA	155.221944	19.424444	garden trash pile by road	Near Volcano National Park	NA	NA	FALSE
ECA274	NA	-2.59	51.45	mushroom compost	Bristol, United Kingdom	NA	NA	FALSE
JT11362	NA	-122.275484	47.763944	Worm bin w kitchen scraps and espresso grounds	Lake Forest Park, USA	NA	NA	FALSE
JU1530MAF	NA	2.2131	48.662134	rotting apple O21 (tree Wealthy, like O20), sampled in the Orsay orchard	Orsay, France	NA	NA	FALSE
JU1656	NA	-3.972104	48.725018	rotting fern stem (Pteridium aquilinum	Sainte-Barbe (Finistere), France	NA	NA	FALSE
JU1666	NA	-3.972104	48.725018	rotting sloe	Sainte-Barbe (Finistere), France	NA	NA	FALSE
JU1762	NA	-3.790033	48.695548	rotting Heracleum stem	Plougasnou, Finistere, France	NA	NA	FALSE
JU1770	NA	-3.790033	48.695548	rotting fern stem	Plougasnou, Finistere, France	NA	NA	FALSE
JU1792	NA	1.064289	46.63278	rotting Arum stem sampled in woods	le Blanc (Indre), France	NA	NA	FALSE
JU1793	NA	1.95114	49.12604	rotting Heracleum stem	Santeuil (Val d'Oise), France	NA	NA	FALSE
JU1807	NA	2.2131	48.662134	rotting apple O145 (Kidd's Orange)	Orsay, France	NA	NA	FALSE
JU1808	NA	2.395372	48.81257	Helix aspersa snail	Ivry (Val-de-Marne), Franc	NA	NA	FALSE
JU1893	NA	2.2131	48.662134	rotting apple	Orsay, France	NA	NA	FALSE
JU1920	NA	1.95114	49.12604	rotting Heracleum stem S60	Santeuil (Val d'Oise), France	NA	NA	FALSE
JU1922	NA	1.95114	49.12604	rotting Heracleum stem S68	Santeuil (Val d'Oise), France	NA	NA	FALSE
JU1924	NA	1.95114	49.12604	rotting Heracleum stem S73	Santeuil (Val d'Oise), France	NA	NA	FALSE
JU1929	NA	1.95114	49.12604	rotting Heracleum stem S86	Santeuil (Val d'Oise), France	NA	NA	FALSE
JU1934	NA	1.95114	49.12604	rotting Heracleum stem S106	Santeuil (Val d'Oise), France	NA	NA	FALSE
JU1960	NA	-118.131319	34.18973	compost in the same garden in Altadena as PS2025	Altadena, CA	NA	NA	FALSE
JU2016	NA	-122.463177	37.757593	rotten pumpkin	San Francisco, USA	NA	NA	FALSE
JU2017	NA	-122.463177	37.757593	rotten sweet potato	San Francisco, USA	NA	NA	FALSE
JU2106	NA	0.239824	43.606266	compost heap	Frechendets (Hautes Pyrenees)	NA	NA	FALSE
JU2131	NA	-4.705	48.0497	rotting Heracleum stem	Baie des Trepasses (Finistere), France	NA	NA	FALSE
JU2139	NA	1.064289	46.63278	rotting acorns sampled in woods	le Blanc (Indre), France	NA	NA	FALSE
JU2141	NA	1.064289	46.63278	rotting walnuts (outer layer)	le Blanc (Indre), France	NA	NA	FALSE
JU2151	NA	1.95114	49.12604	rotting Heracleum stem S173	Santeuil (Val d'Oise), France	NA	NA	FALSE
JU2234	NA	-1.583	47.227	rotten plum	Nantes, France	NA	NA	FALSE
JU2250	NA	-1.891389	48.285278	apple	Cardroc (Ile et Vilaine, France)	NA	NA	FALSE
JU2257	NA	1.064289	46.63278	compost (in container) sampled in the garden in le Blan	le Blanc (Indre), France	NA	NA	FALSE
JU2287	NA	1.064289	46.63278	compost (in container) sampled in the garden in le Blan	le Blanc (Indre), France	NA	NA	FALSE
JU2460	NA	-3.9251	48.6934	rotting cabbage leaves	Ile Callot (Finistere, France)	NA	NA	FALSE
JU2461	NA	-69.289488	-12.801653	rotting carambola	Madre de Dios (Peru)	NA	NA	FALSE
JU2478	NA	4.351	50.85	Denis Thieffry's compost heap	Brussels, Belgium	NA	NA	FALSE
JU2527	NA	-3.5999	47.8797	rotten apples	Mellac (Finistere), France	NA	NA	FALSE
JU2534	NA	0.097087	49.357921	cherry	NA	NA	NA	FALSE
JU2565	NA	1.066213	44.958394	rotting figs	Perigord, France	NA	NA	FALSE
JU2566	NA	2.44599	48.83886	rotting Gunnera stems in the Parc Floral	Vincennes, France	NA	NA	FALSE
JU2570	NA	-0.2685	46.2657	rotting walnuts	Niort, Mougon, Deux Sevres, France	NA	NA	FALSE
JU2572	NA	2.395372	48.81257	rotting Petasites stems	Ivry (Val-de-Marne), Franc	NA	NA	FALSE
JU2574	NA	76.975	8.4	solated from rotting stems (banana stems?)	Kovalam (Kerala, India)	NA	NA	FALSE
JU2575	NA	3.0707	49.0857	rotting Heracleum stem	Crouy-sur-Ourcq (Seine-et-Marne), France	NA	NA	FALSE
JU2576	NA	3.072	49.0861	rotting stem	Crouy-sur-Ourcq (Seine-et-Marne), France	NA	NA	FALSE
JU2578	NA	2.4315	48.87613	compost in the jardin partage in Bagnolet	Bagnolet (Seine-Sainte-Denis), France	NA	NA	FALSE
JU2581	NA	1.064289	46.63278	pears sampled in the garden in Le Blanc	le Blanc (Indre), France	NA	NA	FALSE
JU2586	NA	2.159459	48.497005	rotting pear	Chatou (Yvelines, France)	NA	NA	FALSE
JU2587	NA	3.872016	45.026713	compost	Vals-pres-Le-Puy (Haute-Loire), France	NA	NA	FALSE
JU2592	NA	-2.403836	48.628558	rotting peach	Plurien (Cotes d'Armor, France)	NA	NA	FALSE
JU2593	NA	2.222334	48.822556	compost	Hauts de Seine, France	NA	NA	FALSE
JU2600	NA	1.9496	49.1242	rotting apple across the river from the station	Santeuil(Val d'Oise), France,	NA	NA	FALSE
JU2604	NA	1.86175	49.16477	rotting walnut	Nucourt (Val d'Oise), France.	NA	NA	FALSE
JU2605	NA	1.86	49.166	rotting apple	Nucourt (Val d'Oise), France.	NA	NA	FALSE
JU2610	NA	1.7915	49.1075	rotting apple	Arthies and Wy-di-tJoli-Village (Val d'Oise), France	NA	NA	FALSE
JU2611	NA	5.0628	43.8658	rotting apple (same apple as JU2616)	South of Isle-sur-Sorgue (Vaucluse), France	NA	NA	FALSE
JU2619	NA	NA	NA	compost	Arizona	NA	NA	FALSE
JU2771	NA	0.991728	47.410058	rotting stems sampled in the park of Chateau du Clos Luce	Amboise, Indre-et-Loire, France	NA	NA	FALSE
JU2800	NA	NA	NA	rotting pear	Cachan, France	NA	NA	FALSE
JU2802	NA	2.14167	48.9067	rotting rhubarb stems in a private garden of Montesson	Yvelines, France	NA	NA	FALSE
JU2811	NA	151.219453	-33.8632	rotting ficus fruit collected in the Royal Botanical Garden, Sydney	Sydney, Australia	NA	NA	FALSE
JU2825	NA	2.3862	48.8092	otting Petasites stem	Ivry-sur-Seine (Val de Marne)	NA	NA	FALSE
JU2828	NA	1.064289	46.63278	rotting pears	le Blanc (Indre), France	NA	NA	FALSE
JU2829	NA	1.064289	46.63278	rotting pears	le Blanc (Indre), France	NA	NA	FALSE
JU2830	NA	1.064289	46.63278	rotting pears	le Blanc (Indre), France	NA	NA	FALSE
JU2838	NA	-97.98832	20.205961	rotten orange	Tenango, Puebla, Mexico	NA	NA	FALSE
JU2841	NA	NA	NA	slug	New Zealand	NA	NA	FALSE
JU2853	NA	-7.545	41.19	soil from a plant pot	Pinhao, Portugal	NA	NA	FALSE
JU2860	NA	0.115365	52.19842	rotting wood, fungus, rotting leaf sample	Coe Fen meadow, Cambridge (UK)	NA	NA	FALSE
JU2862	NA	0.1264	52.1944	rotting flowers of Napoleona vogelli in the heated greenhouse	Botanic Garden, Cambridge (UK).	NA	NA	FALSE
JU2866	NA	-118.4409	34.0751	unidentified rotting fruit, Murphy Sculpture Garden, UCLA Campus	Los Angeles, CA, USA	NA	NA	FALSE
JU2878	NA	-99.098769	19.29732	rotten berry sampled in a greenhouse	Cuemanco-Xochimilco, Mexico	NA	NA	FALSE
JU2879	NA	-99.098769	19.29732	rotten apple sampled in a greenhouse	Cuemanco-Xochimilco, Mexico	NA	NA	FALSE
LSJ2	NA	-2.59	51.45	mushroom compost	Bristol, United Kingdom	NA	NA	FALSE
MY2001	NA	7.536628	51.950777	Isopod	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2004	NA	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2011	NA	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2014	NA	7.536628	51.950777	brown slug	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2022	NA	10.117737	54.346355	Isopod	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2024	NA	10.117737	54.346355	brown slug	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2042	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2050	NA	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2051	NA	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2054	NA	7.536628	51.950777	Isopod	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2078	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2097	NA	10.117737	54.346355	brown slug	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2099	NA	10.117737	54.346355	Isopod	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2109	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2121	NA	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2137	NA	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2138	NA	10.117737	54.346355	brown slug	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2142	NA	7.599099	51.950723	Isopod	Farming museum, Muenster, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2143	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2144	NA	7.599099	51.950723	rotting apple compost	Farming museum, Muenster, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2147	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2198	NA	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2199	NA	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2208	NA	10.117737	54.346355	Isopod	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2212	NA	10.117737	54.346355	Isopod	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2224	NA	10.117737	54.346355	Isopod	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2239	NA	10.117737	54.346355	Isopod	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2282	NA	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2288	NA	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2291	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2294	NA	7.599099	51.950723	rotting apple compost	Farming museum, Muenster, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2338	NA	7.599099	51.950723	rotting apple compost	Farming museum, Muenster, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2339	NA	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2344	NA	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2347	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2373	NA	10.117737	54.346355	Isopod	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2406	NA	10.117737	54.346355	rotting apple compost	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2434	NA	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2443	NA	7.599099	51.950723	rotting apple compost	Farming museum, Muenster, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2453	NA	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2479	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2481	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2491	NA	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2502	NA	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2530	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2532	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2535	NA	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2541	NA	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2573	NA	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2579	NA	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY2585	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY2622	NA	10.11505	54.3491	myriapod	Botanical garden, Kiel, Germany	NA	NA	FALSE
MY2623	NA	10.11505	54.3491	slug	Botanical garden, Kiel, Germany	NA	NA	FALSE
MY2630	NA	10.11505	54.3491	isopod	Botanical garden, Kiel, Germany	NA	NA	FALSE
MY2635	NA	10.11505	54.3491	isopod	Botanical garden, Kiel, Germany	NA	NA	FALSE
MY2636	NA	10.11505	54.3491	myriapod	Botanical garden, Kiel, Germany	NA	NA	FALSE
MY2640	NA	10.11505	54.3491	slug	Botanical garden, Kiel, Germany	NA	NA	FALSE
MY2649	NA	10.11505	54.3491	myriapod	Botanical garden, Kiel, Germany	NA	NA	FALSE
MY2679	NA	10.11505	54.3491	isopod	Botanical garden, Kiel, Germany	NA	NA	FALSE
MY2681	NA	10.11505	54.3491	myriapod	Botanical garden, Kiel, Germany	NA	NA	FALSE
MY2682	NA	10.11505	54.3491	invertebrate	Botanical garden, Kiel, Germany	NA	NA	FALSE
MY2684	NA	10.11505	54.3491	slug	Botanical garden, Kiel, Germany	NA	NA	FALSE
MY2685	NA	10.11505	54.3491	isopod Oniscus asellus	Botanical garden, Kiel, Germany	NA	NA	FALSE
MY2688	NA	10.11505	54.3491	slug	Botanical garden, Kiel, Germany	NA	NA	FALSE
MY2689	NA	10.11505	54.3491	chilopod	Botanical garden, Kiel, Germany	NA	NA	FALSE
MY2691	NA	10.11505	54.3491	isopod	Botanical garden, Kiel, Germany	NA	NA	FALSE
MY2692	NA	10.11505	54.3491	isopod	Botanical garden, Kiel, Germany	NA	NA	FALSE
MY2693	NA	10.11505	54.3491	slug	Botanical garden, Kiel, Germany	NA	NA	FALSE
MY2713	NA	10.11505	54.3491	isopod Oniscus asellus	Botanical garden, Kiel, Germany	NA	NA	FALSE
MY2719	NA	10.11505	54.3491	chilopod	Botanical garden, Kiel, Germany	NA	NA	FALSE
MY2741	NA	10.11505	54.3491	slug	Botanical garden, Kiel, Germany	NA	NA	FALSE
MY508	NA	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY518	NA	7.611719	51.964154	compost heap	Botanical garden, Muenster, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY524	NA	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY538	NA	10.117737	54.346355	brown slug	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY559	NA	7.599099	51.950723	brown slug	Farming museum, Muenster, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY561	NA	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY564	NA	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY570	NA	7.536628	51.950777	brown slug	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY579	NA	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY589	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY673	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY679	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY684	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY710	NA	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY713	NA	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY741	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY772	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY792	NA	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY795	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY803	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY804	NA	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY819	NA	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY864	NA	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY881	NA	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY882	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY887	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY904	NA	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY920	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY934	NA	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY965	NA	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany	NA	NA	FALSE
MY990	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
MY991	NA	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany	NA	NA	FALSE
NIC1049	NA	1.45032	43.593561	Compost fresh	Botanical garden, Toulouse, France	NA	NA	FALSE
NIC1107	NA	7.266935	43.716278	Gingko fruits	Parc Valrose, Nice, France	NA	NA	FALSE
NIC501	NA	2.2675	48.77302	Apples	Parc de la Vallee aux Loups, Chatenay-Malabry, France	NA	NA	FALSE
NIC508	NA	14.261756	40.86183	Magnolia flowers	Botanical garden, Naples, Italy	NA	NA	FALSE
NIC511	NA	14.2623855	40.8625	Citrus fruits	Botanical garden, Naples, Italy	NA	NA	FALSE
NIC512	NA	14.2623855	40.8625	Citrus fruits	Botanical garden, Naples, Italy	NA	NA	FALSE
NIC513	NA	-9.167136	38.776038	Olives	Parque Botanico do Monteiro-Mor, Lisbon, Portugal	NA	NA	FALSE
NIC514	NA	-9.167136	38.776038	Olives	Parque Botanico do Monteiro-Mor, Lisbon, Portugal	NA	NA	FALSE
NIC515	NA	-9.165884	38.776775	Apples	Parque Botanico do Monteiro-Mor, Lisbon, Portugal	NA	NA	FALSE
NIC521	NA	-6.304441	36.535679	Small woody fruits, humus	Cadiz, Spain	NA	NA	FALSE
NIC522	NA	-6.304441	36.535679	Citrus fruit	Cadiz, Spain	NA	NA	FALSE
NIC523	NA	-6.29831	36.535679	Ficus fruits woody, humus	Cadiz, Spain	NA	NA	FALSE
NIC526	NA	-6.304441	36.535679	Fruit shells, woody	Cadiz, Spain	NA	NA	FALSE
NIC527	NA	-6.304441	36.535679	Citrus fruit	Cadiz, Spain	NA	NA	FALSE
NIC528	NA	-6.29831	36.535679	Orange	Cadiz, Spain	NA	NA	FALSE
NIC529	NA	-4.784967	37.870754	Olives, litter, humus	Cordoba, Spain	NA	NA	FALSE
QG536 #2	NA	NA	NA	NA	San Francisco, USA	NA	NA	FALSE
QG537 #2	NA	NA	NA	NA	San Francisco, USA	NA	NA	FALSE
QG538 #2	NA	NA	NA	NA	San Francisco, USA	NA	NA	FALSE
QG558 #2	NA	-119.702021	34.421629	rotting orange beneath a non-edible fig tree; orange had large snail and two slugs	Santa Barbara, USA	NA	NA	FALSE
QX1791 #2	NA	-156.3935	20.6344	rotting bark, base of eucalyptus tree	Maui, USA	NA	NA	FALSE
QX1792 #2	NA	-156.35475	20.70554	rotting orange flowers	Maui, USA	NA	NA	FALSE
QX1793 #2	NA	-156.35678	20.70559	Wilma's vermiculate compost bin	Maui, USA	NA	NA	FALSE
QX1794 #2	NA	-156.35678	20.70559	Wilma's vermiculate compost bin	Maui, USA	NA	NA	FALSE
TR403	NA	NA	NA	NA	NA	NA	N2xCB4851 recombinant	FALSE
XZ1513	NA	-156.67	22.1	rotten small red berries	Pu'u Hinahina lookout on Kauai	NA	NA	FALSE
XZ1514	NA	-159.6	22.1	rotten small fruit (papaya or mango?)	Awa'awapuhi trail on Kauai	NA	NA	FALSE
XZ1515	NA	-159.6	22.1	rotten small berries	Awa'awapuhi trail on Kauai	NA	NA	FALSE
XZ1516	NA	-159.6	22.1	rotten small berries	Awa'awapuhi trail on Kauai	NA	NA	FALSE
